# docs/Project58/asserts.tsv — every string count operand NOT proven non-negative by construction,
# with the exact IR assert that discharges it at runtime.  Emit it immediately BEFORE the statement
# (same block; the count expression is evaluated in the statement's own context, IR.md 5.8).
# tier: base-class = a varying read (count = length word at A, data at A+1); cond = non-negative iff the
#       named length word(s) are; guard = proven by a dominating guard (no assert NEEDED, listed for completeness);
#       unknown = the tool could not decide (arithmetic / opaque / interprocedural); the assert still discharges it;
#       invariant (a005) = proven by dataflow: the count is a frame slot's length word (or C - it) and every writer of
#       that slot in the routine keeps it in [0, C] (literal assignments, the clamped append min(len+k, C)); no assert NEEDED;
#       derived (a004) = built from base-class length words by +, x, min/max: covered by the ROOT site's assert(s)
#       named in the root column (block:stmt role), which dominate it with the length word unchanged between.
# pc	block	stmt	op	routine	role	class	tier	needed	root	assert
7015C0AD	7015C0A3	0	WCMP	QUEST	s1/ac1	varying	guard	no		assert((sx16(M16[0x7000021C])) >=s 0, "P58 guard s1-ac1 @7015C0AD")
7015C90D	7015C8EA	12	WCMV	ALCHEMIST_HOME	dst/ac0	lenload-expr	derived	no	7015C8EA:12 src/ac1	assert((sx16(M16[((sx16(M16[wp(ac3, 2)]) * 9) - 0xFEAF841)])) >=s 0, "P58 derived dst-ac0 @7015C90D")
7015C90D	7015C8EA	12	WCMV	ALCHEMIST_HOME	src/ac1	lenload-expr	base-class	yes		assert((sx16(M16[((sx16(M16[wp(ac3, 2)]) * 9) - 0xFEAF841)])) >=s 0, "P58 base-class src-ac1 @7015C90D")
7015C916	7015C8EA	14	WCMV	ALCHEMIST_HOME	dst/ac0	expr	derived	no	7015C8EA:12 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 2)]) * 9) - 0xFEAF841)]) + 0x3C)) >=s 0, "P58 derived dst-ac0 @7015C916")
7015C916	7015C8EA	14	WCMV	ALCHEMIST_HOME	src/ac1	expr	derived	no	7015C8EA:12 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 2)]) * 9) - 0xFEAF841)]) + 0x3C)) >=s 0, "P58 derived src-ac1 @7015C916")
7015C927	7015C8EA	17	WCMV	ALCHEMIST_HOME	dst/ac0	expr	derived	no	7015C8EA:12 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 2)]) * 9) - 0xFEAF841)]) + 0x66)) >=s 0, "P58 derived dst-ac0 @7015C927")
7015C927	7015C8EA	17	WCMV	ALCHEMIST_HOME	src/ac1	expr	derived	no	7015C8EA:12 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 2)]) * 9) - 0xFEAF841)]) + 0x66)) >=s 0, "P58 derived src-ac1 @7015C927")
7015CAC5	7015CA99	17	WCMV	ALCHEMIST_HOME	dst/ac0	register	derived	no	7015CA99:17 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @7015CAC5")
7015CAC5	7015CA99	17	WCMV	ALCHEMIST_HOME	src/ac1	register	base-class	yes		assert((ac1) >=s 0, "P58 base-class src-ac1 @7015CAC5")
7015CAC5	7015CA99	23	WCMV	ALCHEMIST_HOME	dst/ac0	register	derived	no	7015CA99:17 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @7015CAC5")
7015CAC5	7015CA99	23	WCMV	ALCHEMIST_HOME	src/ac1	register	derived	no	7015CA99:17 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @7015CAC5")
